The hospital gives each patient individualised attention,The hospital's employees express care in their interaction with patients,The hospital and its employees have the patients' best interests at heart,The hospital's employees understand the specific needs of each of their patients,The operating hours of the hospital are convenient for all its patients
4,5,5,5,5
3,5,5,3,5
5,5,5,5,5
5,5,5,5,5
3,3,3,3,3
4,4,4,3,5
4,5,5,4,5
5,5,5,5,5
5,5,5,5,5
5,5,5,5,5
5,5,5,5,5
5,5,5,5,5
3,4,4,3,5
5,5,5,5,5
5,5,5,5,5
5,4,4,4,4
5,5,5,4,5
5,5,5,3,5
4,4,4,4,5
3,4,4,4,4
5,5,5,5,5
4,4,4,4,4
5,5,5,5,5
3,4,3,4,4
