"When a hospital employee promises to do something by a particular time, they do it","When a patient has a problem, the hospital's employees show a sincere interest in solving it",The hospital provides its services at the time it promises to do,The hospital always gets things right the first time,The hospital maintains accurate and error-free records
3,5,3,4,3
2,4,3,3,4
4,5,4,4,4
5,5,5,4,4
4,4,4,3,3
4,4,3,4,3
4,4,4,4,4
5,5,5,5,5
5,5,5,5,5
4,5,4,4,4
5,5,5,5,4
5,5,5,4,4
4,4,4,4,4
3,4,3,4,4
3,5,4,4,4
4,4,4,4,4
4,5,3,3,4
5,5,5,5,5
3,4,3,4,3
4,4,4,4,4
4,5,4,5,4
4,4,5,3,4
5,5,5,5,5
4,4,3,3,4
